kommunenummer,komunenavn,lungekreft,smoke,snuff
1111,Sokndal,40,16.41%,13.17%
1112,Lund,46,16.31%,12.98%
1114,Bjerkreim,0,16.74%,13.22%
1119,Hå,53,16.73%,13.28%
1120,Klepp,49,17.02%,13.77%
1121,Time,51,17.01%,14.03%
1122,Gjesdal,75,17.23%,14.05%
1124,Sola,67,13.65%,16.87%
1127,Randaberg,61,16.50%,13.34%
1130,Strand,63,16.59%,13.55%
1133,Hjelmeland,58,15.47%,11.73%
1134,Suldal,46,15.68%,12.41%
1135,Sauda,73,15.66%,13.07%
1144,Kvitsøy,0,11.57%,16.47%
1145,Bokn,0,9.56%,18.76%
1146,Tysvær,68,16.73%,13.78%
1149,Karmøy,73,14.54%,16.91%
1151,Utsira,0,21.94%,14.29%
1160,Vindafjord,54,16.41%,12.99%
4601,Bergen,60,20.47%,16.75%
4602,Kinn,73,16.38%,23.16%
4611,Etne,57,15.99%,22.93%
4612,Sveio,71,16.15%,24.36%
4613,Bømlo,59,16.21%,23.93%
4614,Stord,55,16.04%,24.67%
4615,Fitjar,53,16.08%,24.32%
4616,Tysnes,41,16.71%,21.57%
4617,Kvinnherad,59,16.45%,23.27%
4618,Ullensvang,69,15.56%,18.49%
4619,Eidfjord,71,15.95%,15.73%
4620,Ulvik,0,12.52%,13.27%
4621,Voss,49,15.76%,19.96%
4622,Kvam,61,16.15%,22.44%
4623,Samnanger,63,16.35%,22.72%
4624,Bjørnafjorden,52,15.68%,20.06%
4625,Austevoll,72,15.40%,23.92%
4626,Øygarden,70,15.90%,22.37%
4627,Askøy,63,15.63%,18.21%
4628,Vaksdal,67,16.62%,22.89%
4629,Modalen,0,6.84%,11.58%
4630,Osterøy,67,15.61%,24.27%
4631,Alver,58,16.06%,24.42%
4632,Austrheim,75,16.40%,21.64%
4633,Fedje,0,14.67%,13.60%
4634,Masfjorden,0,12.09%,13.57%
4635,Gulen,51,16.15%,20.89%
4636,Solund,0,14.04%,14.78%
4637,Hyllestad,59,13.19%,12.89%
4638,Høyanger,46,16.98%,22.80%
4639,Vik,54,15.62%,21.43%
4640,Sogndal,52,14.88%,20.66%
4641,Aurland,61,11.82%,14.50%
4642,Lærdal,41,15.85%,22.00%
4643,Årdal,77,16.48%,22.11%
4644,Luster,49,15.76%,23.69%
4645,Askvoll,50,16.35%,21.53%
4646,Fjaler,78,16.43%,23.12%
4647,Sunnfjord,43,15.86%,24.95%
4648,Bremanger,75,15.96%,20.13%
4649,Stad,58,16.30%,23.50%
4650,Gloppen,49,16.30%,23.15%
4651,Stryn,43,15.49%,22.30%
1505,Kristiansund,81,15.87%,16.80%
1506,Molde,51,16.17%,20.19%
1507,Ålesund,60,15.00%,19.53%
1511,Vanylven,42,16.75%,20.83%
1514,Sande,33,15.92%,19.06%
1515,Herøy (Møre og Romsdal),53,15.85%,22.45%
1516,Ulstein,42,16.17%,23.37%
1517,Hareid,67,15.91%,23.21%
1520,Ørsta,47,16.03%,24.38%
1525,Stranda,52,14.74%,20.31%
1528,Sykkylven,40,15.98%,23.00%
1531,Sula,66,15.46%,24.66%
1532,Giske,64,15.33%,24.67%
1535,Vestnes,65,16.29%,22.66%
1539,Rauma,50,16.23%,22.83%
1547,Aukra,44,15.86%,22.55%
1554,Averøy,62,16.36%,22.49%
